Product SKU	Product Name	Product Description	Model
24364269	CD CURSIVE WRITING	Handwriting: Cursive for Elementary	405023MCM
24376608	TRU RED™ Pen Permanent Markers, Fine Tip, Red, 12/Pack (TR54539)	TRU RED™ Permanent Marker, Fine Tip, Red, 12/Pack (TR54539)	TR54539
24386254	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Red (ST55473-CC)	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Red (ST55473-CC)	ST55473-CC
24386258	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Yellow (55475)	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Yellow (55475)	ST55475-CC
24386262	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Teal (55478)	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Teal (55478)	55478
24386263	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Blue (ST55477-CC)	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Blue (ST55477-CC)	ST55477-CC
24386293	2 PCKT HD PLYPORT	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Orange (ST55474-CC)	ST55474-CC
24386294	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Green (ST55476-CC)	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Green (ST55476-CC)	ST55476-CC
24387349	HD 4 PCKT PPR FLDR	Staples 3-Hole Punched 4-Pocket Paper Presentation Folder, Teal (ST56215-CC)	ST56215-CC
24387496	SISTEMA SALAD	Newell Sistema To Go Salad Container, Clear, 37 oz. (21356ZS)	21356ZS
24387496	Newell Sistema Salad Container, Clear (21356ZS)	Newell Sistema To Go Salad Container, Clear, 37 oz. (21356ZS)	21356ZS
24388008	Dap Kwik Seal Ultra Premium Siliconized Kitchen & Bath Sealant, 10.1 oz., Clear (7079818898)	Dap Kwik Seal Ultra Premium Siliconized Kitchen & Bath Sealant, 10.1 oz., Clear (7079818898)	7079818898
24392195	Westcott 8" Titanium Multi-Purpose/Heavy Duty Scissor, Blunt Tip, Navy (17509)	Westcott 8" Titanium Multi-Purpose/Heavy Duty Scissor, Blunt Tip, Navy (17509)	17509
24392195	8IN TITANIUM LITE	Westcott 8" Titanium Multi-Purpose/Heavy Duty Scissor, Blunt Tip, Navy (17509)	17509
24394952	12CT PRISMA WATERC	12CT PRISMA WATERC	
24401670	Brother TN-223 Black/Cyan/Magenta/Yellow Standard Yield Toner Cartridge, Up to 1,400 Pages, 4/Pack (TN2234PK)	Brother TN-223 Black/Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 4/Pack (TN2234PK)	TN2234PK
24401670	Brother TN223 BlackCyanMagentaYellow St	Brother TN-223 Black/Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 4/Pack (TN2234PK)	TN2234PK
24401678	BROTHER TN4313PK	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack (TN4313PK)	TN4313PK
24401678	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, Up to 1,800 Pages, 3/Pack (TN4313PK)	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack (TN4313PK)	TN4313PK
24401678	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack  (TN4313PK)	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack (TN4313PK)	TN4313PK
24401678	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack (TN4313PK)	Brother TN-431 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack (TN4313PK)	TN4313PK
24401679	Brother TN-221 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, Up to 1,400 Pages, 3/Pack  (TN2213PK)	Brother TN-221 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack  (TN2213PK)	TN2213PK
24401679	Brother TN-221 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, Up to 1,400 Pages, 3/Pack (TN2213PK)	Brother TN-221 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack  (TN2213PK)	TN2213PK
24401679	Brother TN221 CyanMagentaYellow Standar	Brother TN-221 Cyan/Magenta/Yellow Standard Yield Toner Cartridge, 3/Pack  (TN2213PK)	TN2213PK
24403551	HP 202X Cyan/Magenta/Yellow High Yield Toner Cartridge, 3/Pack  (CF500XM)	HP 202X Cyan/Magenta/Yellow High Yield Toner Cartridge, 3/Pack (CF500XM)	CF500XM
24405521	Coastwide Professional™ J-Series Duo Bath Tissue Dispenser, Black/Metallic (CWJ2BT-S)	Coastwide Professional™ J-Series Duo Bath Tissue Dispenser, Black/Metallic (CWJ2BT-S)	CWJ2BT-S-CC
24405972	Coastwide Professional™ J-Series 1-Ply Small Core Bath Tissue, White, 3000 Sheets/Roll, 18 Rolls/Carton (CWJBT-3000)	Coastwide Professional™ J-Series 1-Ply Small Core Bath Tissue, White, 3000 Sheets/Roll, 18 Rolls/Carton (CWJBT-3000)	
24405972	Coastwide Professional JSeries 1Ply Sma	Coastwide Professional JSeries 1Ply Sma	
24413845	3D DISPLAY BOARD 3	3D DISPLAY BOARD 3	
24416458	Baseline Permanent Markers, Fine Tip, Blue, 12/Pack (BL58129)	Baseline Permanent Markers, Fine Tip, Blue, 12/Pack (BL58129)	
24417303	Baseline Retractable Ballpoint Pens, Medium Point, Black Ink, Dozen (BL58253)	Baseline Retractable Ballpoint Pens, Medium Point, Black Ink, Dozen (BL58253)	
24418178	TR PLSTC STPLR 10S	TRU RED™ Mini Desktop Stapler, 10-Sheet Capacity, Black (TR58084)	TR58084
24418185	TR PLSTC STPLR CMB	TRU RED™ Desktop Stapler Kit, 20-Sheet Capacity, Black (TR58081)	TR58081
24418465	Coastwide Professional™ 20" Toilet Plunger, Black (CW60568)	Coastwide Professional™ 20" Toilet Plunger, Black (CW60568)	CW60568-CC
24420005	Coastwide Professional™ 36" Lobby Broom, Gray (CW61069-CC)	Coastwide Professional™ 36" Lobby Broom, Gray (CW61069-CC)	CW61069-CC
24420229	PIGMENT LINER 0.5M	PIGMENT LINER 0.5M	
24421012	CLOROX DISINFCT BA	Clorox Bathroom Disinfecting Cleaner, Original Scent, 30 fl. oz. (08033)	8033
24424014	TR PREM 3SUBNB 8X1	TR PREM 3SUBNB 8X1	
24428037	STAPLES 3/16 BUBBL	Staples 3/16" Bubble Roll, 12" x 30', Clear (ST59152)	ST59152
24428037	STAPLES 3/16 BUBBL		
24428041	STAPLES 3/16 BBL R	Staples 3/16" Bubble Roll, 12" x 200', Clear (ST59156)	ST59156
24428785	Brother TN8502PK Black Toner High Yield Cartridge, Print Up to 8,000 Pages, 2/Pack	Brother TN-850 Black Toner High Yield Cartridge, 2/Pack (TN8502PK)	TN8502PK
24429055	STAPLES 5/16 BBL R	Staples 5/16" Bubble Roll, 12" x 125', Clear (ST59158)	ST59158
24431692	MSKN CLSSC RLD XL	Moleskine Classic Professional Notebooks, 7.5" x 9.75", Narrow Ruled, 192 Sheets, Hydrangea Blue (851014)	851014
24439529	WHITE TRIFOLD FOAM	WHITE TRIFOLD FOAM	
24448550	Elkay Water Soluble Bag, 36" x 39", Transparent Green, 100/Box (WSB2633)	Elkay Water Soluble Bag, 36" x 39", Transparent Green, 100/Box (WSB2633)	
24452173	PUFFS ULT SFT FACI	Puffs Ultra Soft Facial Tissues, 124 Tissues/Box, 3 Boxes/Pack (35520)	35520
24453272	j5create USB-C Super Charger, Black (JUP2290)	j5create USB-C Super Charger, Black (JUP2290)	JUP2290
24453272	J5 100W USBC SUPER	j5create USB-C Super Charger, Black (JUP2290)	JUP2290
24459955	HP 134x Black High Yield Toner Cartridge (W1340X)	HP 134x Black High Yield Toner Cartridge, Prints Up to 2,400 pages (W1340X)	W1340X
24461600	JLab Studio On-Ear Headphones, Black (HASTUDIORBLK4)	JLab Studio On-Ear Headphones, Black (HASTUDIORBLK4)	HASTUDIORBLK4
24461600	JLAB STUDIO ONEAR	JLab Studio On-Ear Headphones, Black (HASTUDIORBLK4)	HASTUDIORBLK4
24462152	Smead ETS 2021 Color-Coded Year Label, 0.5” x 1", White/Blue, 25 Labels/Sheet, 10 Sheets/Pack, 250 Labels/Pack (67921)	Smead ETS 2021 Color-Coded Year Label, 0.5” x 1", White/Blue, 25 Labels/Sheet, 10 Sheets/Pack, 250 Labels/Pack (67921)	67921
24463350	Avery Water-Resistant Laser/Inkjet ID Labels, 1-1/4" x 3-1/2", Assorted Border Colors, 4 Labels/Sheet, 20 Labels/Pack (41413)	Avery Water-Resistant Laser/Inkjet ID Labels on 4" x 6" Sheets, 1-1/4" x 3-1/2", Assorted Border Colors, 20 Labels/Pack (41413)	41413
24474492	FIVESTAR BINDER XL	Five Star Zipper Mesh Pouch, Black/Gray/Green/Yellow/Red/Blue/Pink (50782)	50782
24476692	ELMERS GLUE STICKS	Elmer's Jumbo School Glue Washable Glue Sticks, 0.77 oz. (E578)	E578
24479671	Scott 1-Ply Standard Toilet Paper, White, 1000 Sheets/Roll, 32 Rolls/Case (49209)	Scott Toilet Paper, 1-ply, White, 32,000 Sheets/Roll, 32 Rolls/Case (49209)	49209/54350
24484507	RING QUICK RELEASE	Ring Quick-Release Replacement Battery for Ring Video Doorbell 2 (8AB1S7-0EN0)	5892396
24488838	Scotch-Brite Soap Control Non-Scratch Dishwand, Blue (451U-4)	Scotch-Brite Soap Control Non-Scratch Dishwand, Blue (451U-4)	451U-4
24489891	APPLE AIRTAG 1-PAC	Apple AirTag Bluetooth Tracker (MX532AM/A)	MX532AM/A
24489892	APPLE AIRTAG 4-PAC	Apple AirTag Tracker, 4/Pack (MX542AM/A)	MX542AM/A
24490936	MIND THE GAP GAME	MIND THE GAP GAME	
24491722	PLAYSTATION 5 CONS	PLAYSTATION 5 CONS	
24516904	SIGNATURE M650L RE	Logitech Signature M650 L Wireless Ergonomic Optical Mouse, Classic Red (910-006358)	910-006358
24520586	TP-LINK AX4400 WI-	TP-LINK Archer AX4400 Dual Band MU-MIMO Gaming Router, Black (ARCHER AX4400)	ARCHER AX4400
24520588	TP-LINK AX1500 WI-	TP-LINK Archer AX1500 Dual Band MU-MIMO Gaming Router, Black (ARCHER AX1500)	ARCHER AX1500
24523425	COMMAND ADJ SPRG C	COMMAND ADJ SPRG C	
24525832	KLEENEX ANTI VIRAL	Kleenex Antiviral Facial Tissue, 3-ply, 55 Tissues/Box, 4 Boxes/Pack (54506)	54506
24547868	Scrubbing bubbles Bubbly Bleach Gel Disinfecting Toilet Bowl Cleaner, Rainshower Scent, 24 Oz. (309106)	Scrubbing bubbles Bubbly Bleach Gel Disinfecting Toilet Bowl Cleaner, Rainshower Scent, 24 Oz. (309106)	
